name,value,year,lastValue,rank
diabetes,1,1816,0,1
arthritis,0,1816,0,2
chagas,0,1816,0,3
hiv,0,1816,0,4
malaria,0,1816,0,5
dengue,0,1816,0,6
tuberculosis,0,1816,0,7
diabetes,3,1817,1,1
dengue,0,1817,0,2
tuberculosis,0,1817,0,3
malaria,0,1817,0,4
hiv,0,1817,0,5
arthritis,0,1817,0,6
chagas,0,1817,0,7
diabetes,4,1818,3,1
hiv,0,1818,0,2
chagas,0,1818,0,3
arthritis,0,1818,0,4
dengue,0,1818,0,5
tuberculosis,0,1818,0,6
malaria,0,1818,0,7
diabetes,4,1819,4,1
tuberculosis,0,1819,0,2
dengue,0,1819,0,3
malaria,0,1819,0,4
hiv,0,1819,0,5
arthritis,0,1819,0,6
chagas,0,1819,0,7
diabetes,6,1820,4,1
hiv,0,1820,0,2
chagas,0,1820,0,3
arthritis,0,1820,0,4
tuberculosis,0,1820,0,5
dengue,0,1820,0,6
malaria,0,1820,0,7
diabetes,6,1821,6,1
malaria,0,1821,0,2
dengue,0,1821,0,3
tuberculosis,0,1821,0,4
arthritis,0,1821,0,5
chagas,0,1821,0,6
hiv,0,1821,0,7
diabetes,7,1822,6,1
dengue,0,1822,0,2
tuberculosis,0,1822,0,3
malaria,0,1822,0,4
hiv,0,1822,0,5
arthritis,0,1822,0,6
chagas,0,1822,0,7
diabetes,7,1823,7,1
hiv,0,1823,0,2
arthritis,0,1823,0,3
chagas,0,1823,0,4
dengue,0,1823,0,5
tuberculosis,0,1823,0,6
malaria,0,1823,0,7
diabetes,7,1824,7,1
hiv,0,1824,0,2
arthritis,0,1824,0,3
chagas,0,1824,0,4
dengue,0,1824,0,5
tuberculosis,0,1824,0,6
malaria,0,1824,0,7
diabetes,7,1825,7,1
chagas,0,1825,0,2
arthritis,0,1825,0,3
hiv,0,1825,0,4
malaria,0,1825,0,5
dengue,0,1825,0,6
tuberculosis,0,1825,0,7
diabetes,8,1826,7,1
arthritis,0,1826,0,2
chagas,0,1826,0,3
hiv,0,1826,0,4
malaria,0,1826,0,5
dengue,0,1826,0,6
tuberculosis,0,1826,0,7
diabetes,8,1827,8,1
malaria,0,1827,0,2
tuberculosis,0,1827,0,3
dengue,0,1827,0,4
chagas,0,1827,0,5
arthritis,0,1827,0,6
hiv,0,1827,0,7
diabetes,8,1828,8,1
malaria,4,1828,0,2
chagas,0,1828,0,3
arthritis,0,1828,0,4
hiv,0,1828,0,5
tuberculosis,0,1828,0,6
dengue,0,1828,0,7
diabetes,9,1829,8,1
malaria,4,1829,4,2
dengue,0,1829,0,3
tuberculosis,0,1829,0,4
chagas,0,1829,0,5
arthritis,0,1829,0,6
hiv,0,1829,0,7
diabetes,10,1830,9,1
malaria,4,1830,4,2
chagas,0,1830,0,3
arthritis,0,1830,0,4
hiv,0,1830,0,5
dengue,0,1830,0,6
tuberculosis,0,1830,0,7
diabetes,10,1831,10,1
malaria,4,1831,4,2
arthritis,0,1831,0,3
chagas,0,1831,0,4
hiv,0,1831,0,5
tuberculosis,0,1831,0,6
dengue,0,1831,0,7
diabetes,10,1832,10,1
malaria,5,1832,4,2
tuberculosis,0,1832,0,3
dengue,0,1832,0,4
hiv,0,1832,0,5
arthritis,0,1832,0,6
chagas,0,1832,0,7
diabetes,10,1833,10,1
malaria,6,1833,5,2
hiv,0,1833,0,3
arthritis,0,1833,0,4
chagas,0,1833,0,5
tuberculosis,0,1833,0,6
dengue,0,1833,0,7
diabetes,10,1834,10,1
malaria,6,1834,6,2
chagas,0,1834,0,3
arthritis,0,1834,0,4
hiv,0,1834,0,5
tuberculosis,0,1834,0,6
dengue,0,1834,0,7
diabetes,10,1835,10,1
malaria,7,1835,6,2
tuberculosis,0,1835,0,3
dengue,0,1835,0,4
chagas,0,1835,0,5
arthritis,0,1835,0,6
hiv,0,1835,0,7
diabetes,10,1836,10,1
malaria,8,1836,7,2
hiv,0,1836,0,3
chagas,0,1836,0,4
arthritis,0,1836,0,5
dengue,0,1836,0,6
tuberculosis,0,1836,0,7
diabetes,10,1837,10,1
malaria,8,1837,8,2
dengue,0,1837,0,3
tuberculosis,0,1837,0,4
chagas,0,1837,0,5
arthritis,0,1837,0,6
hiv,0,1837,0,7
diabetes,10,1838,10,1
malaria,8,1838,8,2
hiv,0,1838,0,3
chagas,0,1838,0,4
arthritis,0,1838,0,5
dengue,0,1838,0,6
tuberculosis,0,1838,0,7
diabetes,10,1839,10,1
malaria,8,1839,8,2
hiv,0,1839,0,3
arthritis,0,1839,0,4
chagas,0,1839,0,5
dengue,0,1839,0,6
tuberculosis,0,1839,0,7
diabetes,13,1840,10,1
malaria,8,1840,8,2
hiv,0,1840,0,3
chagas,0,1840,0,4
arthritis,0,1840,0,5
tuberculosis,0,1840,0,6
dengue,0,1840,0,7
diabetes,16,1841,13,1
malaria,8,1841,8,2
tuberculosis,0,1841,0,3
dengue,0,1841,0,4
hiv,0,1841,0,5
chagas,0,1841,0,6
arthritis,0,1841,0,7
diabetes,17,1842,16,1
malaria,8,1842,8,2
hiv,0,1842,0,3
arthritis,0,1842,0,4
chagas,0,1842,0,5
dengue,0,1842,0,6
tuberculosis,0,1842,0,7
diabetes,23,1843,17,1
malaria,11,1843,8,2
dengue,0,1843,0,3
tuberculosis,0,1843,0,4
chagas,0,1843,0,5
arthritis,0,1843,0,6
hiv,0,1843,0,7
diabetes,23,1844,23,1
malaria,13,1844,11,2
dengue,0,1844,0,3
tuberculosis,0,1844,0,4
hiv,0,1844,0,5
chagas,0,1844,0,6
arthritis,0,1844,0,7
diabetes,25,1845,23,1
malaria,13,1845,13,2
arthritis,0,1845,0,3
chagas,0,1845,0,4
hiv,0,1845,0,5
tuberculosis,0,1845,0,6
dengue,0,1845,0,7
diabetes,27,1846,25,1
malaria,13,1846,13,2
tuberculosis,0,1846,0,3
dengue,0,1846,0,4
chagas,0,1846,0,5
